#;NAME;;PSRJ;;RAJ;;;DECJ;;;PMRA;;;PMDEC;;;PX;;;POSEPOCH;;Gl;Gb;F0;;;F1;;;F2;;;F3;;;PEPOCH;;DM;;;DM1;;;S400;;;S1400;;;BINARY;;T0;;;PB;;;A1;;;OM;;;ECC;;;TASC;;;EPS1;;;EPS2;;;DIST;ASSOC;SURVEY;PSR;
;;;;;(hms);;;(dms);;;(mas/yr);;;(mas/yr);;;(mas);;;(MJD);;(deg);(deg);(Hz);;;(s^-2);;;(s^-3);;;(s^-4);;;(MJD);;(cm^-3pc);;;(cm^-3pc/yr);;;(mJy);;;(mJy);;;(type);;(MJD);;;(days);;;(ltsec);;;(deg);;;;;;(MJD);;;;;;;;;(kpc);;;TYPE;
2965;J1911+00;mll+06;J1911+00;mll+06;19:11:48;2.9e+01;kkl+11;+00:37;7.0e+00;kkl+11;*;0;*;*;0;*;*;0;*;52318.00;*;35.808;-4.247;0.1441;3.0e-04;kkl+11;*;0;*;*;0;*;*;0;*;52318;kkl+11;100;3.0e+00;mll+06;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.047;*;pksmb;RRAT;
2966;B1908+00A;dma+93;J1911+0101A;dma+93;19:11:11.08957;4.0e-05;fhn+05;+01:02:09.741;2.0e-03;fhn+05;-1.11;3.0e-02;vb21;-3.62;3.0e-02;vb21;0.132;1.1e-02;vb21;53000.00;*;36.111;-3.918;276.35575461663;1.6e-10;fhn+05;5.025E-16;1.6e-18;fhn+05;*;0;*;*;0;*;53000;fhn+05;202.6;0;whx+23;*;0;*;*;0;*;*;0;*;ELL1;fhn+05;*;0;*;0.1409967943;6.0e-10;fhn+05;0.037658;2.0e-06;fhn+05;*;0;*;0.00000;1.3e-04;fhn+05;53000.0517850;8.0e-07;fhn+05;*;0;*;*;0;*;8.400;GC:NGC6760,OPT:[bvvh03];misc,fast_gpps;*;
2967;J1911+0101B;fhn+05;J1911+0101B;fhn+05;19:11:12.5725;4.0e-04;fhn+05;+01:01:50.44;2.0e-02;fhn+05;-1.11;3.0e-02;vb21;-3.62;3.0e-02;vb21;0.132;1.1e-02;vb21;53000.00;*;36.109;-3.926;185.7242772016;4.0e-10;fhn+05;6.9E-17;1.1e-17;fhn+05;*;0;*;*;0;*;53000;fhn+05;196.69;2.0e-02;fhn+05;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;8.400;GC:NGC6760;misc;*;
2968;J1911+0310g;zhx+23;J1911+0310g;zhx+23;19:11:18;0;zhx+23;+03:10;0;zhx+23;*;0;*;*;0;*;*;0;*;*;*;38.020;-2.965;0.750;3.0e-03;zhx+23;*;0;*;*;0;*;*;0;*;*;*;167.7;8.0e-01;zhx+23;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.181;*;fast_gpps;RRAT[zhx+23];
2969;J1911+0751g;hww+21;J1911+0751g;hww+21;19:11:43;6.0e+00;hww+21;+07:51;2.0e+00;hww+21;*;0;*;*;0;*;*;0;*;*;*;42.225;-0.896;1.254847;0;hww+21;*;0;*;*;0;*;*;0;*;*;*;220.6;0;whx+23;*;0;*;*;0;*;0.052;0;hww+21;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;5.570;*;fast_gpps;*;
2970;J1911+0921;lbh+15;J1911+0921;lbh+15;19:11:46.487;9.0e-03;psf+22;+09:21:56.8;3.0e-01;psf+22;*;0;*;*;0;*;*;0;*;56041.00;*;43.576;-0.207;3.65354515394;3.0e-11;psf+22;-2.34E-16;3.0e-18;psf+22;*;0;*;*;0;*;56041.0;psf+22;340.7;0;whx+23;*;0;*;*;0;*;0.113;1.8e-02;psf+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.419;*;palfa,fast_gpps;*;
2971;J1911+0925;psf+22;J1911+0925;psf+22;19:11:59.472;1.2e-02;psf+22;+09:25:32.2;6.0e-01;psf+22;*;0;*;*;0;*;*;0;*;55982.00;*;43.654;-0.227;3.08777735214;5.0e-11;psf+22;-3.3828E-14;7.0e-18;psf+22;*;0;*;*;0;*;55982.0;psf+22;486.6;5.0e-01;psf+22;*;0;*;*;0;*;0.09;2.0e-02;psf+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;8.146;*;palfa;*;
2972;J1911+0939g;hww+21;J1911+0939g;hww+21;19:11:38;6.0e+00;hww+21;+09:39;2.0e+00;hww+21;*;0;*;*;0;*;*;0;*;*;*;43.812;-0.045;2.736203;0;hww+21;*;0;*;*;0;*;*;0;*;*;*;597.0;0;whx+23;*;0;*;*;0;*;0.026;0;hww+21;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;10.589;*;fast_gpps;*;
2973;J1911+1017g;zhx+23;J1911+1017g;zhx+23;19:11:12;0;zhx+23;+10:17;0;zhx+23;*;0;*;*;0;*;*;0;*;*;*;44.324;0.343;0.7479;6.0e-04;zhx+23;*;0;*;*;0;*;*;0;*;*;*;162;2.0e+00;zhx+23;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.439;*;fast_gpps;RRAT[zhx+23];
2974;J1911+1051;lbh+15;J1911+1051;lbh+15;19:11:42.262;8.0e-03;psf+22;+10:51:26.74;1.6e-01;psf+22;*;0;*;*;0;*;*;0;*;56578.00;*;44.890;0.499;5.2390899312;4.0e-10;psf+22;-3.33921E-13;5.0e-18;psf+22;*;0;*;*;0;*;56578.0;psf+22;445.21;1.7e-01;psf+22;*;0;*;*;0;*;0.051;1.3e-02;psf+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;10.116;*;palfa,fast_gpps;*;
2975;J1911+1252g;hww+21;J1911+1252g;hww+21;19:11:28;6.0e+00;hww+21;+12:52;2.0e+00;hww+21;*;0;*;*;0;*;*;0;*;*;*;46.645;1.479;36.710720;0;hww+21;*;0;*;*;0;*;*;0;*;*;*;68.8;0;hww+21;*;0;*;*;0;*;0.026;0;hww+21;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.167;*;fast_gpps;*;
2976;J1911+1301;psf+22;J1911+1301;psf+22;19:11:31.739;9.0e-03;psf+22;+13:01:26.6;3.0e-01;psf+22;*;0;*;*;0;*;*;0;*;57915.00;*;46.792;1.538;0.98964658135;9.0e-11;psf+22;-1.8510E-15;6.0e-19;psf+22;*;0;*;*;0;*;57915.0;psf+22;388.8;0;whx+23;*;0;*;*;0;*;0.051;1.3e-02;psf+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;11.645;*;palfa,fast_gpps;*;
2977;J1911+1336;psf+22;J1911+1336;psf+22;19:11:59.541;3.0e-03;psf+22;+13:36:55.00;7.0e-02;psf+22;*;0;*;*;0;*;*;0;*;58410.00;*;47.368;1.712;3.333421769280;1.2e-11;psf+22;-1.7623E-15;8.0e-19;psf+22;*;0;*;*;0;*;58410.0;psf+22;323.95;1.4e-01;psf+22;*;0;*;*;0;*;0.072;1.9e-02;psf+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;10.419;*;palfa;*;
2978;J1911+1347;fsk+04;J1911+1347;fsk+04;19:11:55.2034741;1.4e-06;aab+21a;+13:47:34.35584;3.2e-05;aab+21a;-2.900;5.0e-03;abb+23;-3.684;9.0e-03;abb+23;0.40;9.0e-02;abb+23;57206.0;aab+21a;47.518;1.809;216.171227371979;2.0e-12;abb+23;-7.90860E-16;1.0e-20;abb+23;*;0;*;*;0;*;55000;abb+23;30.99;0;dmo+24;-0.0010;2.0e-04;abb+23;3.0;1.0e+00;aab+21a;0.9;4.0e-01;aab+21a;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.500;*;pksmb,ar327,fast_gpps;*;
2979;J1911+1758;nft95;J1911+1758;nft95;19:11:55.390;6.0e-03;cn95;+17:58:45.79;1.1e-01;cn95;*;0;*;*;0;*;*;0;*;49079.50;*;51.238;3.738;2.1719968758;7.0e-10;cn95;-6.2E-17;3.0e-18;cn95;*;0;*;*;0;*;49079.5;cn95;48.9;0;whx+23;*;0;*;1.9;0;cn95;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;1.953;*;ar3,fast_gpps;*;
2980;J1911-1114;llb+96;J1911-1114;llb+96;19:11:49.28233;3.0e-05;dcl+16;-11:14:22.481;3.0e-03;dcl+16;-13.70;1.0e-01;dds+23;-10.2;4.0e-01;dds+23;0.37;1.4e-01;dds+23;55000.00;*;25.137;-9.579;275.8053380433;4.0e-10;dcl+16;-1.061E-15;4.0e-18;dcl+16;*;0;*;*;0;*;55000;dcl+16;30.9665;6.0e-04;sbm+22;-0.02;2.0e-02;dcl+16;15;0;stc99;1.00;7.0e-02;sbm+22;ELL1;dcl+16;*;0;*;2.7165576619;7.0e-10;dcl+16;1.7628746;9.0e-07;dcl+16;121;0.0e+00;dcl+16;1.6E-6;0.0e+00;dcl+16;50455.6117845;1.3e-06;dcl+16;1.4E-6;1.1e-06;dcl+16;-8.4E-7;9.1e-07;dcl+16;1.069;XRS:[pb15];pks70,gbncc;*;
2981;J1912+0934g;hww+21;J1912+0934g;hww+21;19:12:41;6.0e+00;hww+21;+09:34;2.0e+00;hww+21;*;0;*;*;0;*;*;0;*;*;*;43.858;-0.313;1.114243;0;hww+21;*;0;*;*;0;*;*;0;*;*;*;143.8;0;hww+21;*;0;*;*;0;*;0.030;0;hww+21;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.025;*;fast_gpps;*;
2982;J1912+1000g;zhx+23;J1912+1000g;zhx+23;19:12:46;0;zhx+23;+10:00;0;zhx+23;*;0;*;*;0;*;*;0;*;*;*;44.251;-0.130;0.3275;5.0e-04;zhx+23;*;0;*;*;0;*;*;0;*;*;*;147;4.0e+00;zhx+23;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.090;*;fast_gpps;RRAT[zhx+23];
2983;B1910+10;ht75b;J1912+1036;ht75b;19:12:46.33;1.0e-02;lcx02;+10:36:41.6;3.0e-01;lcx02;*;0;*;*;0;*;*;0;*;51600.00;*;44.794;0.152;2.44290034442;4.0e-11;lcx02;-9.4064E-14;5.0e-18;lcx02;*;0;*;*;0;*;51600.0;lcx02;147.0;0;whx+23;*;0;*;1.60;1.0e-01;lcx02;0.22;3.0e-02;hfs+04;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.154;*;ar1,palfa,pksmb,fast_gpps;*;
2984;J1912+1105g;hww+21;J1912+1105g;hww+21;19:12:26;6.0e+00;hww+21;+11:05;2.0e+00;hww+21;*;0;*;*;0;*;*;0;*;*;*;45.173;0.444;1.490957;0;hww+21;*;0;*;*;0;*;*;0;*;*;*;151.4;0;whx+23;*;0;*;*;0;*;0.018;0;hww+21;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.368;*;fast_gpps;*;
2985;J1912+1417g;hww+21;J1912+1417g;hww+21;19:12:32;7.0e+00;hww+21;+14:17;2.0e+00;hww+21;*;0;*;*;0;*;*;0;*;*;*;48.022;1.904;315.457413;0;hww+21;*;0;*;*;0;*;*;0;*;*;*;66.6;0;hww+21;*;0;*;*;0;*;0.040;0;hww+21;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.164;*;fast_gpps;*;
2986;B1910+20;dls73;J1912+2104;dls73;19:12:43.3391;1.0e-04;dgb+19;+21:04:33.926;1.0e-03;dgb+19;-11.37;6.0e-02;dgb+19;-5.80;1.0e-01;dgb+19;0.09;9.0e-02;dgb+19;56000.0;dgb+19;54.086;4.989;0.4478342454993;1.5e-12;hlk+04;-2.041156E-15;8.0e-21;hlk+04;-2.67E-27;1.2e-28;hlk+04;*;0;*;48740.0;hlk+04;88.5;0;whx+23;*;0;*;6.0;1.0e+00;lylg95;0.80;1.0e-01;lylg95;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;3.366;*;jb1,ar3,fast_gpps;*;
2987;J1912+2525;nft95;J1912+2525;nft95;19:12:18.626;1.0e-02;cn95;+25:25:02.12;1.1e-01;cn95;*;0;*;*;0;*;*;0;*;*;*;57.933;7.042;1.607779;0;dmo+24;-5.816e-16;0;dmo+24;*;0;*;*;0;*;*;*;37.85;0;dmo+24;*;0;*;1.6;0;cn95;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;2.150;*;ar3,ar327,gbncc,lotaas,fast_gpps;*;
2988;J1912-0952;mzl+23;J1912-0952;mzl+23;19:12:12.2482;3.0e-04;mzl+23;-09:52:51.748;1.6e-02;mzl+23;*;0;*;*;0;*;*;0;*;58679.66;*;26.415;-9.067;39.89141833615;4.0e-11;mzl+23;-4.55E-17;1.3e-18;mzl+23;*;0;*;*;0;*;58679.659247;mzl+23;126.348;1.5e-02;mzl+23;*;0;*;*;0;*;0.195;1.7e-02;mzl+23;ELL1;mzl+23;58685.963815;4.0e-06;mzl+23;29.4925321;5.0e-07;mzl+23;5.379447;7.0e-06;mzl+23;341;0.0e+00;mzl+23;4.9E-5;0.0e+00;mzl+23;*;0;*;-1.62E-5;1.8e-06;mzl+23;4.6E-5;3.0e-06;mzl+23;9.446;*;fast_crafts;*;
2989;J1913+0446;kbm+03;J1913+0446;kbm+03;19:13:50.82;4.0e-02;kbm+03;+04:46:06;2.0e+00;kbm+03;*;0;*;*;0;*;*;0;*;51832.34;*;39.736;-2.790;0.61876215365;7.0e-11;kbm+03;-1.06783E-13;7.0e-18;kbm+03;*;0;*;*;0;*;51832.34029;kbm+03;109.1;0;whx+23;*;0;*;*;0;*;0.48;6.0e-02;kbm+03;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.338;*;pksmb,fast_gpps;*;
2990;J1913+0523;psf+22;J1913+0523;psf+22;19:13:22.721;7.0e-03;psf+22;+05:23:58.8;3.0e-01;psf+22;*;0;*;*;0;*;*;0;*;58290.00;*;40.243;-2.395;1.510579895499;1.6e-11;psf+22;-4.1003E-15;7.0e-19;psf+22;*;0;*;*;0;*;58290.0;psf+22;333.6;3.0e-01;psf+22;*;0;*;*;0;*;0.025;7.0e-03;psf+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;16.100;*;palfa,fast_gpps;*;
2991;J1913+0618;lbh+15;J1913+0618;lbh+15;19:13:17.8786;2.0e-04;pkr+19;+06:18:08.277;5.0e-03;pkr+19;-9;2.0e+00;pkr+19;*;0;*;*;0;*;57696.0;pkr+19;41.034;-1.960;198.93129209203;3.0e-11;pkr+19;-3.804E-16;8.0e-19;pkr+19;*;0;*;*;0;*;57696.0;pkr+19;155.987;3.0e-03;pkr+19;*;0;*;*;0;*;0.060;1.0e-02;pkr+19;DD;pkr+19;57721.746;3.0e-03;pkr+19;67.7439374;2.0e-07;pkr+19;32.742919;2.0e-06;pkr+19;38.65;2.0e-02;pkr+19;0.00070530;1.0e-07;pkr+19;*;0;*;*;0;*;*;0;*;5.862;*;palfa;*;
2992;J1913+0657;lsb+17;J1913+0657;lsb+17;19:13:32.92;4.0e-02;lsb+17;+06:57:24.3;1.0e+00;lsb+17;*;0;*;*;0;*;*;0;*;56700.00;*;41.644;-1.712;0.79543034577;5.0e-11;lsb+17;-1.790E-15;5.0e-18;lsb+17;*;0;*;*;0;*;56700;lsb+17;142.0;0;whx+23;*;0;*;*;0;*;0.05;0;lsb+17;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;5.068;*;palfa,fast_gpps;*;
2993;J1913+0832;mhl+02;J1913+0832;mhl+02;19:13:00.50;2.0e-02;mhl+02;+08:32:05.1;5.0e-01;mhl+02;*;0;*;*;0;*;*;0;*;51685.00;*;42.980;-0.862;7.4399777798;6.0e-10;mhl+02;-2.5294E-13;4.0e-17;mhl+02;-2.7E-24;2.5e-24;mhl+02;*;0;*;51685.0;mhl+02;356.4;0;whx+23;*;0;*;*;0;*;0.9;2.0e-01;jk18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;8.216;*;pksmb,misc,palfa,fast_gpps;*;
2994;J1913+0904;lfl+06;J1913+0904;lfl+06;19:13:21.061;8.0e-03;lfl+06;+09:04:45.4;4.0e-01;lfl+06;*;0;*;*;0;*;*;0;*;56367.33;*;43.502;-0.684;6.125554131008;2.0e-12;saa+23;-6.6115526E-13;2.0e-20;saa+23;4.7550E-24;9.0e-28;saa+23;*;0;*;56367.33;saa+23;96.9;0;whx+23;*;0;*;*;0;*;0.40;1.0e-01;jk18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;3.043;GRS:4FGL_J1913.3+0905[aab+22];pksmb,FermiBlind,misc,palfa,fast_gpps;HE;
2995;B1911+09;ht75b;J1913+0936;ht75b;19:13:52.70;2.0e-02;lcx02;+09:36:41.8;3.0e-01;lcx02;*;0;*;*;0;*;*;0;*;51600.00;*;44.034;-0.553;0.805175928940;2.0e-11;lcx02;-2.80E-16;3.0e-18;lcx02;*;0;*;*;0;*;51600.0;lcx02;157;2.0e+00;lcx02;*;0;*;0.80;1.0e-01;lcx02;0.14;2.0e-02;hfs+04;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.337;*;ar1,palfa,pksmb;*;
2996;J1913+1000;hfs+04;J1913+1000;hfs+04;19:13:03.59;5.0e-02;hfs+04;+10:00:02.4;1.4e+00;hfs+04;*;0;*;*;0;*;*;0;*;52187.00;*;44.285;-0.194;1.19453163035;6.0e-11;hfs+04;-2.3882E-14;8.0e-18;hfs+04;*;0;*;*;0;*;52187.0;hfs+04;422.8;0;whx+23;*;0;*;*;0;*;0.53;6.0e-02;hfs+04;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;7.678;*;pksmb,misc,palfa,fast_gpps;*;
2997;J1913+1011;mhl+02;J1913+1011;mhl+02;19:13:20.341;3.0e-03;mhl+02;+10:11:22.97;7.0e-02;mhl+02;*;0;*;*;0;*;*;0;*;56381.00;*;44.485;-0.167;27.847412644895;1.2e-11;saa+23;-2.62223859E-12;1.3e-19;saa+23;-2.6150E-23;5.0e-27;saa+23;*;0;*;56381;saa+23;178.4;0;whx+23;*;0;*;*;0;*;0.9;2.0e-01;jk18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.607;GRS:4FGL_J1913.3+1019[aab+22];pksmb,FermiAssoc,misc,palfa,fast_gpps;HE[sbc+19];
2998;J1913+1037g;hww+21;J1913+1037g;hww+21;19:13:53;6.0e+00;hww+21;+10:37;2.0e+00;hww+21;*;0;*;*;0;*;*;0;*;*;*;44.925;-0.087;2.303033;0;hww+21;*;0;*;*;0;*;*;0;*;*;*;436.8;0;whx+23;*;0;*;*;0;*;0.008;0;hww+21;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;7.887;*;fast_gpps;*;
2999;J1913+1050;lsb+17;J1913+1050;lsb+17;19:13:35.364;9.0e-03;lsb+17;+10:50:26.6;3.0e-01;lsb+17;*;0;*;*;0;*;*;0;*;56700.00;*;45.090;0.081;5.26129961343;9.0e-11;lsb+17;-5.411E-15;4.0e-18;lsb+17;*;0;*;*;0;*;56700;lsb+17;231.1;0;whx+23;*;0;*;*;0;*;0.06;0;lsb+17;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;5.446;*;palfa,fast_gpps;*;
3000;J1913+1054g;hww+21;J1913+1054g;hww+21;19:13:07;6.0e+00;hww+21;+10:54;2.0e+00;hww+21;*;0;*;*;0;*;*;0;*;*;*;45.089;0.211;2.219165;0;hww+21;*;0;*;*;0;*;*;0;*;*;*;335.5;0;whx+23;*;0;*;*;0;*;0.024;0;hww+21;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;7.078;*;fast_gpps;*;
3001;J1913+1102;lfa+16;J1913+1102;lfa+16;19:13:29.0542;3.0e-04;lfa+16;+11:02:05.741;9.0e-03;lfa+16;*;0;*;*;0;*;*;0;*;56357.00;*;45.250;0.194;36.65016488379;2.0e-11;lfa+16;-2.16E-16;3.0e-18;lfa+16;*;0;*;*;0;*;56357;lfa+16;338.96;2.0e-02;lfa+16;*;0;*;*;0;*;0.02;0;lfa+16;DD;lfa+16;56241.029660;5.0e-06;lfa+16;0.206252330;6.0e-09;lfa+16;1.754623;8.0e-06;lfa+16;264.279;9.0e-03;lfa+16;0.089540;1.0e-05;lfa+16;*;0;*;*;0;*;*;0;*;7.139;*;palfa;*;
3002;J1913+11025;lbh+15;J1913+11025;lbh+15;19:13:42.715;8.0e-03;psf+22;+11:02:58.8;2.0e-01;psf+22;*;0;*;*;0;*;*;0;*;56356.00;*;45.289;0.151;1.082401121651;1.3e-11;psf+22;-3.988E-16;2.0e-18;psf+22;*;0;*;*;0;*;56356.0;psf+22;626.0;4.0e-01;psf+22;*;0;*;*;0;*;0.14;4.0e-02;psf+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;11.411;*;palfa;*;
3003;J1913+1145;mhl+02;J1913+1145;mhl+02;19:13:43.88;6.0e-02;mhl+02;+11:45:33.1;1.1e+00;mhl+02;*;0;*;*;0;*;*;0;*;51290.00;*;45.920;0.476;3.2672409162;3.0e-10;mhl+02;-5.355E-14;1.1e-16;mhl+02;*;0;*;*;0;*;51290.0;mhl+02;641.5;0;whx+23;*;0;*;*;0;*;0.43;9.0e-02;mhl+02;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;13.813;*;pksmb,misc,palfa,fast_gpps;*;
3004;J1913+1330;mll+06;J1913+1330;mll+06;19:13:17.97;1.0e-02;bls+18;+13:30:32.78;4.0e-02;bls+18;*;0;*;*;0;*;*;0;*;55090.90;*;47.421;1.381;1.0829644010729;3.0e-13;bls+18;-1.01772E-14;2.0e-19;bls+18;6.0E-27;5.0e-27;bls+18;-6.9E-33;3.0e-34;bls+18;55090.9;bls+18;175.64;6.0e-02;mlk+09;*;0;*;*;0;*;*;0;*;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;6.179;*;pksmb,palfa;RRAT;
3005;B1911+13;ht74;J1913+1400;ht74;19:13:24.3527;1.0e-04;dgb+19;+14:00:52.559;1.0e-03;dgb+19;-5.28;6.0e-02;dgb+19;-8.94;5.0e-02;dgb+19;0.19;3.0e-02;dgb+19;56000.0;dgb+19;47.881;1.592;1.917645876757;6.0e-12;hlk+04;-2.95488E-15;5.0e-20;hlk+04;-1.78E-26;1.0e-27;hlk+04;*;0;*;49910.0;hlk+04;145.0;0;whx+23;*;0;*;5.2;7.0e-01;lylg95;1.20;1.3e-01;hfs+04;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;5.400;*;ar1,ar2,ar3,misc,palfa,pksmb,fast_gpps;*;
3006;J1913+3732;bck+13;J1913+3732;bck+13;19:13:27.892;3.0e-03;flm+23;+37:32:12.35;3.0e-02;flm+23;*;0;*;*;0;*;*;0;*;56694;flm+23;69.097;12.128;1.174979047088;6.0e-12;flm+23;-1.9021E-15;2.0e-19;flm+23;*;0;*;*;0;*;56694;flm+23;72.33;0;dmo+24;*;0;*;*;0;*;0.38;5.0e-02;bck+13;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;7.585;*;htru_eff,ar327,gbncc,fast_gpps;*;
3007;B1911-04;lvw69b;J1913-0440;lvw69b;19:13:54.1735;1.6e-03;hlk+04;-04:40:47.68;7.0e-02;hlk+04;7;1.3e+01;hla93;-5;9.0e+00;hla93;*;0;*;46634.0;hlk+04;31.307;-7.124;1.210747852620;1.3e-11;hlk+04;-5.96334E-15;4.0e-20;hlk+04;1.61E-26;5.0e-28;hlk+04;*;0;*;46634.0;hlk+04;89.385;1.0e-02;hlk+04;*;0;*;118;9.0e+00;lylg95;6.8;1.4e+00;jk18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;4.041;*;mol1,gb2,jb1,lotaas,misc,mol2,pks70,pkssw;*;
3008;J1914+0219;lfl+06;J1914+0219;lfl+06;19:14:23.794;8.0e-03;lfl+06;+02:19:47.8;3.0e-01;lfl+06;*;0;*;*;0;*;*;0;*;53040.00;*;37.633;-4.037;2.18566539717;5.0e-11;lfl+06;-4.8637E-15;1.7e-18;lfl+06;-1.4E-24;3.0e-25;lfl+06;*;0;*;53040.0;lfl+06;233.8;0;whx+23;*;0;*;*;0;*;1.6;3.0e-01;jk18;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;14.113;*;pksmb,gbncc,misc,fast_gpps;*;
3009;J1914+0625;psf+22;J1914+0625;psf+22;19:14:08.359;3.0e-03;psf+22;+06:25:00.97;5.0e-02;psf+22;*;0;*;*;0;*;*;0;*;56964.00;*;41.233;-2.092;1.137799550785;1.2e-11;psf+22;-5.866E-16;1.5e-18;psf+22;*;0;*;*;0;*;56964.0;psf+22;204.8;0;whx+23;*;0;*;*;0;*;0.060;1.6e-02;psf+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;8.344;*;palfa,fast_gpps;*;
3010;J1914+0631;hfs+04;J1914+0631;hfs+04;19:14:17.24;4.0e-02;hfs+04;+06:31:56.3;1.0e+00;hfs+04;*;0;*;*;0;*;*;0;*;52582.00;*;41.352;-2.071;1.44131428222;1.0e-10;hfs+04;-6.9E-17;2.7e-17;hfs+04;*;0;*;*;0;*;52582.0;hfs+04;58.0;0;whx+23;*;0;*;*;0;*;0.26;1.0e-01;hfs+04;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;1.776;*;pksmb,misc,palfa,fast_gpps;*;
3011;J1914+0659;lbh+15;J1914+0659;lbh+15;19:14:17.647;2.0e-03;sab+16;+07:01:11.00;7.0e-02;sab+16;*;0;*;*;0;*;*;0;*;56351.00;*;41.785;-1.846;54.01953250261;9.0e-11;sab+16;-9.0E-17;9.0e-18;sab+16;*;0;*;*;0;*;56351.0;sab+16;225.34;3.0e-02;sbm+22;*;0;*;*;0;*;0.410;1.1e-02;sbm+22;*;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;*;0;*;8.468;*;palfa;*;
